case,theme,board_size,expected_outcome,http_status,exact_board,expected_error_matched,warning_free,response_stable,median_ms,p95_ms
app-192346--pad-40,light,8,success,200,True,False,True,True,311.971,331.867
app-192346--crop-12,light,8,success,200,True,False,True,True,255.16,288.152
app-192351,dark,8,success,200,True,False,True,True,359.594,459.669
app-192351--scale-75,dark,8,success,200,True,False,True,True,158.579,169.679
app-192351--scale-125,dark,8,success,200,True,False,True,True,522.285,621.12
app-192351--jpeg-q65,dark,8,success,200,True,False,True,True,386.114,465.2
app-192351--blur-0.8,dark,8,success,200,True,False,True,True,332.942,366.899
app-192351--pad-40,dark,8,success,200,True,False,True,True,417.355,627.144
app-192351--crop-12,dark,8,success,200,True,False,True,True,343.794,370.546
linkedin-19.49.31,light,7,success,200,True,False,True,True,56.992,63.517
linkedin-19.49.31--scale-75,light,7,success,200,True,False,True,True,46.29,51.928
linkedin-19.49.31--scale-125,light,7,success,200,True,False,True,True,72.722,85.832
linkedin-19.49.31--jpeg-q65,light,7,success,200,True,False,True,True,52.326,61.826
linkedin-19.49.31--blur-0.8,light,7,success,200,True,False,True,True,62.251,84.305
linkedin-19.49.31--pad-40,light,7,success,200,True,False,True,True,64.638,72.328
linkedin-19.49.31--crop-12,light,7,success,200,True,False,True,True,58.688,63.939
linkedin-19.49.42,light,8,success,200,True,False,True,True,86.506,93.432
linkedin-19.49.42--scale-75,light,8,success,200,True,False,True,True,77.264,92.116
linkedin-19.49.42--scale-125,light,8,success,200,True,False,True,True,103.544,115.856
linkedin-19.49.42--jpeg-q65,light,8,success,200,True,False,True,True,81.638,92.208
linkedin-19.49.42--blur-0.8,light,8,success,200,True,False,True,True,90.54,96.23
linkedin-19.49.42--pad-40,light,8,success,200,True,False,True,True,94.45,99.467
linkedin-19.49.42--crop-12,light,8,success,200,True,False,True,True,89.355,97.055
linkedin-19.49.53,light,6,success,200,True,False,True,True,50.876,58.752
linkedin-19.49.53--scale-75,light,6,success,200,True,False,True,True,39.829,43.117
linkedin-19.49.53--scale-125,light,6,success,200,True,False,True,True,66.506,77.162
linkedin-19.49.53--jpeg-q65,light,6,success,200,True,False,True,True,44.646,45.879
linkedin-19.49.53--blur-0.8,light,6,success,200,True,False,True,True,51.348,63.456
linkedin-19.49.53--pad-40,light,6,success,200,True,False,True,True,53.572,54.537
linkedin-19.49.53--crop-12,light,6,success,200,True,False,True,True,50.094,59.323
linkedin-19.50.07,light,6,success,200,True,False,True,True,49.123,57.864
linkedin-19.50.07--scale-75,light,6,success,200,True,False,True,True,40.304,43.273
linkedin-19.50.07--scale-125,light,6,success,200,True,False,True,True,65.486,67.755
linkedin-19.50.07--jpeg-q65,light,6,success,200,True,False,True,True,45.497,50.504
linkedin-19.50.07--blur-0.8,light,6,success,200,True,False,True,True,51.981,58.289
linkedin-19.50.07--pad-40,light,6,success,200,True,False,True,True,55.455,63.799
linkedin-19.50.07--crop-12,light,6,success,200,True,False,True,True,58.364,67.878
